Title,Location,Km,Body,Seats,Fuel,Engine,Transmission,Colour,Number of owners,Import,Wof,Reg,Final bid,Result,Link
 2006 Toyota Corolla   Gl ,"Christchurch City, Canterbury ","   255,943km ",   Sedan ,   5 ,   Petrol ,,   Automatic ,    Silver ,    3 owners , :   NZ New ,    Oct 2022 ,    Jul 2022 ,"$2,300", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/toyota/corolla/listing/3292882548?rsqid=7f2977cad1ff4514a7fc597b2251f557-001
 2008 Toyota Vanguard ,"Palmerston North, Manawatu ","   108,464km ",   RV/SUV ,   7 ,   Petrol ,,   Automatic ,    Silver ,    1 owner , :   Imported ,    Expired ,    Aug 2022 ,"$11,450", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/toyota/vanguard/listing/3296507363?rsqid=7f2977cad1ff4514a7fc597b2251f557-001
 2016 Mercedes-Benz GLE 350 d   AMG Line ,"Auckland City, Auckland ","   53,500km ",   RV/SUV ,,   Diesel ,,   Automatic ,    Metallic Grey ,, :   Imported ,    Nov 2021 ,    Nov 2021 ,"$59,000", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/mercedes-benz/gle-350-d/listing/3292260398?rsqid=645bea9bfb2c45a5b182db6671ef6694-001
 2009 Toyota Corolla   Axio ,"Waitakere, Auckland ","   93,000km ",   Sedan ,   5 ,   Petrol ,,   Automatic ,    Blue ,    1 owner , :   Imported ,    Expired ,    Nov 2021 ,"$5,000", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/toyota/corolla/listing/3266822260?rsqid=645bea9bfb2c45a5b182db6671ef6694-001
 1993 BMW 540i   A M60 ,"Hamilton, Waikato ","   300,000km ",   Sedan ,,   Petrol ,,,    Blue ,, :   Imported ,,,"$2,030", Reserve met ,https://www.trademe.co.nz/a/motors/cars/bmw/540i/listing/3284173969?rsqid=645bea9bfb2c45a5b182db6671ef6694-001
 2012 Honda CR-V   Sport ,"Napier, Hawke's Bay ","   130,019km ",   RV/SUV ,   5 ,   Petrol ,,   Automatic ,    Crystal Black ,    3 owners , :   NZ New ,    Sep 2022 ,    Dec 2021 ,"$17,500", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/honda/cr-v/listing/3284158106?rsqid=645bea9bfb2c45a5b182db6671ef6694-001
 2005 Toyota HIACE   2.7 WIDEBODY *10 SEATER* 4WD ,"Botany Downs, Auckland ","   128,900km ",   Van ,   10 ,   Petrol ,,   Automatic ,    White ,,,    Oct 2022 ,,"$21,000", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/toyota/hiace/listing/3284164896?rsqid=645bea9bfb2c45a5b182db6671ef6694-001
 2001 Ford Falcon   Auii Xr8 4Fa ,"Kapiti, Wellington ","   220,000km ",   Sedan ,   5 ,   Petrol ,,   Automatic ,    Red ,    4 owners , :   NZ New ,    Dec 2021 ,    Feb 2022 ,"$6,200", Reserve met ,https://www.trademe.co.nz/a/motors/cars/ford/falcon/listing/3284231234?rsqid=645bea9bfb2c45a5b182db6671ef6694-001
 2008 Jaguar XJ   SOVEREIGN TDVI LWB ,"Kerikeri, Northland ","   167,330km ",   Sedan ,,   Diesel ,,   Tiptronic ,    Black ,    2 owners , :   Imported ,    Expired ,    May 2022 ,"$16,000", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/jaguar/xj/listing/3284235658?rsqid=645bea9bfb2c45a5b182db6671ef6694-001
 1994 Toyota Dyna ,"Halswell, Canterbury ","   295,000km ",   Ute ,   6 ,   Diesel ,,,    Green ,, :   Imported ,    Expired ,    Nov 2021 ,"$4,000", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/toyota/dyna/listing/3284275801?rsqid=645bea9bfb2c45a5b182db6671ef6694-001
